Id,Label,community,frequency,degree_weighted,betweenness,pagerank
natural,natural,6,16,82.0000,0.000628,0.004137
observacao,observacao,4,17,81.0000,0.000000,0.003588
actante,actante,2,30,121.0000,0.008349,0.005186
tecnica,tecnica,0,24,114.0000,0.004896,0.005168
valor,valor,0,20,55.0000,0.000000,0.002912
rede,rede,2,149,602.0000,0.221267,0.022063
mostra,mostra,2,17,49.0000,0.008568,0.002773
latour,latour,2,26,73.0000,0.000000,0.003440
disponivel,disponivel,3,20,74.0000,0.000126,0.003503
corporacao,corporacao,0,101,364.0000,0.085394,0.013846
agenda,agenda,1,16,48.0000,0.000000,0.002434
secao,secao,2,20,87.0000,0.000471,0.003994
lugar,lugar,4,25,65.0000,0.000000,0.003116
fechamento,fechamento,3,20,94.0000,0.000000,0.004032
etnografia,etnografia,4,38,157.0000,0.001255,0.006386
parceria,parceria,5,23,96.0000,0.000000,0.004184
descreve,descreve,2,26,89.0000,0.000000,0.004099
watson,watson,0,21,73.0000,0.002448,0.003443
software,software,6,20,30.0000,0.000000,0.001970
centro,centro,1,125,539.0000,0.241777,0.019592
