Id,Label,community,frequency,degree_weighted,betweenness,pagerank
maquina,maquina,4,69,230.0000,0.039786,0.016241
interesse,interesse,1,20,62.0000,0.001443,0.005264
laboratorio,laboratorio,3,68,220.0000,0.048237,0.015424
processamento,processamento,5,21,114.0000,0.027005,0.009125
partir,partir,2,52,107.0000,0.011544,0.008659
saude,saude,2,30,61.0000,0.000000,0.005049
deixa,deixa,2,25,63.0000,0.000000,0.005600
maior,maior,2,34,63.0000,0.000412,0.005735
descreve,descreve,1,36,74.0000,0.002268,0.006498
dado,dado,5,86,165.0000,0.038136,0.012441
producao,producao,2,26,77.0000,0.000000,0.006388
pesquisa,pesquisa,2,164,548.0000,0.334467,0.035791
posicao,posicao,2,32,61.0000,0.000000,0.005265
disponivel,disponivel,3,24,68.0000,0.000825,0.006356
ator,ator,0,62,200.0000,0.049474,0.014048
ecossistema,ecossistema,1,68,233.0000,0.036693,0.015593
obia,obia,4,17,79.0000,0.000000,0.006551
observacao,observacao,0,21,70.0000,0.000000,0.005932
financiamento,financiamento,1,41,93.0000,0.000000,0.007070
relatorio,relatorio,2,38,77.0000,0.000000,0.006409
parte,parte,2,47,120.0000,0.001649,0.009331
publicacoes,publicacoes,2,40,110.0000,0.005566,0.008667
projeto,projeto,0,25,41.0000,0.000000,0.004059
descrevo,descrevo,0,34,130.0000,0.002268,0.009788
resposta,resposta,0,21,59.0000,0.000000,0.005053
pergunta,pergunta,0,44,135.0000,0.016904,0.010161
computacao,computacao,4,35,74.0000,0.000000,0.006113
associacao,associacao,0,66,142.0000,0.000206,0.010129
estados,estados,3,23,75.0000,0.017522,0.007121
grupo,grupo,2,29,97.0000,0.000825,0.007857
empresa,empresa,1,78,191.0000,0.031334,0.013550
brasileiro,brasileiro,4,21,78.0000,0.000000,0.006163
tabulacao,tabulacao,4,31,114.0000,0.002061,0.009168
rede,rede,0,144,413.0000,0.166564,0.027676
sistema,sistema,4,36,57.0000,0.000000,0.005185
fapesp,fapesp,2,66,174.0000,0.034220,0.012278
publico,publico,1,78,258.0000,0.035044,0.017658
gente,gente,3,28,68.0000,0.001443,0.005880
fechamento,fechamento,3,23,99.0000,0.000000,0.007659
codigo,codigo,5,30,123.0000,0.020820,0.009699
hollerith,hollerith,4,63,194.0000,0.058338,0.014477
vinculo,vinculo,3,37,132.0000,0.000618,0.009808
seguir,seguir,0,72,254.0000,0.068852,0.016790
relacoes,relacoes,1,25,50.0000,0.000206,0.004773
termos,termos,2,37,61.0000,0.000206,0.005386
cientifico,cientifico,2,43,136.0000,0.016285,0.010281
historica,historica,1,24,90.0000,0.012369,0.007745
analise,analise,2,51,129.0000,0.011956,0.009856
recursos,recursos,1,36,73.0000,0.000000,0.006239
entrevistas,entrevistas,0,42,158.0000,0.061843,0.011258
research,research,3,26,97.0000,0.001031,0.007419
infraestrutura,infraestrutura,1,56,125.0000,0.007524,0.009561
parceria,parceria,2,26,67.0000,0.000000,0.005683
brasil,brasil,3,74,259.0000,0.058442,0.018061
campo,campo,0,67,138.0000,0.005154,0.010220
modelo,modelo,5,77,174.0000,0.025149,0.013089
corporacao,corporacao,1,89,231.0000,0.033807,0.016224
linguagem,linguagem,5,35,139.0000,0.011132,0.010934
documentos,documentos,0,22,87.0000,0.018965,0.007071
etnografia,etnografia,0,41,94.0000,0.000206,0.007527
corte,corte,0,24,56.0000,0.008864,0.005034
comercial,comercial,1,24,66.0000,0.010101,0.006105
tecnica,tecnica,1,30,60.0000,0.001649,0.005827
investigacao,investigacao,1,19,59.0000,0.000206,0.005455
pesquisador,pesquisador,3,52,98.0000,0.000000,0.007632
arranjo,arranjo,2,90,213.0000,0.017934,0.014612
bluetalks,bluetalks,0,29,84.0000,0.000000,0.006597
natural,natural,5,17,95.0000,0.000618,0.007935
relacao,relacao,1,28,71.0000,0.000000,0.005844
centro,centro,2,123,389.0000,0.252525,0.025309
inovacao,inovacao,1,41,150.0000,0.000000,0.010428
sigo,sigo,0,26,90.0000,0.000000,0.006949
claudio,claudio,0,170,739.0000,0.229231,0.044836
actante,actante,0,26,58.0000,0.000000,0.005324
fabio,fabio,0,86,458.0000,0.171511,0.027451
aberto,aberto,5,29,108.0000,0.000618,0.008664
humano,humano,0,40,49.0000,0.000000,0.004620
ponto,ponto,2,38,83.0000,0.000000,0.006891
verbal,verbal,0,27,189.0000,0.016904,0.011776
unidos,unidos,3,18,81.0000,0.002268,0.007602
instituicao,instituicao,1,60,153.0000,0.005978,0.011164
trajetoria,trajetoria,1,48,148.0000,0.047207,0.011389
informacao,informacao,0,31,213.0000,0.000000,0.013068
escala,escala,2,35,53.0000,0.000000,0.004955
material,material,2,35,50.0000,0.000412,0.004854
secao,secao,1,21,50.0000,0.000000,0.004825
segui,segui,0,29,114.0000,0.000000,0.008122
inteligencia,inteligencia,4,50,300.0000,0.096475,0.018759
fala,fala,0,21,67.0000,0.000000,0.005455
pratica,pratica,1,36,42.0000,0.000000,0.004278
artificial,artificial,4,55,309.0000,0.056071,0.019516
universidade,universidade,1,51,166.0000,0.002061,0.011655
questao,questao,5,24,81.0000,0.000206,0.006597
negocio,negocio,5,23,67.0000,0.004638,0.005907
conhecimento,conhecimento,5,36,46.0000,0.000000,0.004428
aprendizado,aprendizado,4,20,103.0000,0.000000,0.007540
relatorios,relatorios,2,34,137.0000,0.014430,0.010269
tecnologia,tecnologia,1,94,162.0000,0.017316,0.011699
ciencia,ciencia,1,41,90.0000,0.009483,0.007307
acesso,acesso,3,35,96.0000,0.019171,0.008283
