Source,Target,Type,Weight,npmi
conjunto,fontes,Undirected,3.00,0.2406
conjunto,termos,Undirected,2.00,0.1383
conjunto,tecnologia,Undirected,3.00,0.0848
conjunto,pergunta,Undirected,2.00,0.1194
conjunto,questao,Undirected,3.00,0.2406
conjunto,escolha,Undirected,2.00,0.2299
conjunto,estados,Undirected,3.00,0.2454
conjunto,descreve,Undirected,4.00,0.2348
conjunto,campo,Undirected,2.00,0.0735
conjunto,documentos,Undirected,3.00,0.2505
conjunto,acordo,Undirected,3.00,0.2751
conjunto,entrevistas,Undirected,2.00,0.1258
conjunto,projetos,Undirected,3.00,0.2673
conjunto,financiamento,Undirected,2.00,0.1271
conjunto,associacao,Undirected,3.00,0.1321
conjunto,materiais,Undirected,2.00,0.2233
conjunto,dado,Undirected,7.00,0.2121
maquina,fato,Undirected,7.00,0.2218
maquina,pessoas,Undirected,3.00,0.1211
maquina,seguir,Undirected,4.00,-0.0038
maquina,infraestrutura,Undirected,7.00,0.0977
maquina,hollerith,Undirected,45.00,0.4170
maquina,claudio,Undirected,4.00,-0.1055
maquina,sistema,Undirected,2.00,-0.0027
maquina,tabulacao,Undirected,20.00,0.3522
maquina,cartoes,Undirected,8.00,0.2627
maquina,historica,Undirected,3.00,0.0882
maquina,gente,Undirected,2.00,0.0323
maquina,mundo,Undirected,6.00,0.2265
maquina,empresa,Undirected,5.00,0.0126
maquina,historia,Undirected,2.00,0.0378
maquina,conta,Undirected,2.00,0.0627
maquina,escala,Undirected,4.00,0.0806
maquina,propriedade,Undirected,3.00,0.1063
maquina,logica,Undirected,2.00,0.0495
maquina,diferenca,Undirected,2.00,0.0599
maquina,conhecimento,Undirected,6.00,0.1315
maquina,acao,Undirected,3.00,0.1035
maquina,estatistica,Undirected,4.00,0.1252
maquina,aprendizado,Undirected,53.00,0.6478
maquina,descrevo,Undirected,3.00,0.0484
maquina,inteligencia,Undirected,12.00,0.1935
maquina,artificial,Undirected,14.00,0.2077
maquina,futuro,Undirected,3.00,0.1211
maquina,fabio,Undirected,5.00,0.0018
