Source,Target,Type,Weight,npmi
maquina,seguir,Undirected,4.00,-0.0038
maquina,infraestrutura,Undirected,7.00,0.0977
maquina,hollerith,Undirected,45.00,0.4170
maquina,claudio,Undirected,4.00,-0.1055
maquina,tabulacao,Undirected,20.00,0.3522
maquina,historica,Undirected,3.00,0.0882
maquina,empresa,Undirected,5.00,0.0126
maquina,escala,Undirected,4.00,0.0806
maquina,conhecimento,Undirected,6.00,0.1315
maquina,aprendizado,Undirected,53.00,0.6478
maquina,descrevo,Undirected,3.00,0.0484
maquina,inteligencia,Undirected,12.00,0.1935
maquina,artificial,Undirected,14.00,0.2077
maquina,fabio,Undirected,5.00,0.0018
maquina,analise,Undirected,3.00,0.0021
maquina,natural,Undirected,3.00,0.1277
maquina,brasil,Undirected,3.00,-0.0393
maquina,processamento,Undirected,5.00,0.1719
maquina,dado,Undirected,5.00,0.0008
maquina,comercial,Undirected,3.00,0.0882
maquina,unidos,Undirected,5.00,0.1906
maquina,material,Undirected,5.00,0.1099
maquina,estados,Undirected,4.00,0.1303
maquina,universidade,Undirected,3.00,0.0043
maquina,pesquisa,Undirected,3.00,-0.1302
maquina,questao,Undirected,3.00,0.0882
interesse,fabio,Undirected,9.00,0.2512
interesse,informacao,Undirected,4.00,0.2518
interesse,recursos,Undirected,4.00,0.2332
interesse,fapesp,Undirected,6.00,0.1930
interesse,pesquisa,Undirected,8.00,0.1084
interesse,gente,Undirected,4.00,0.2310
interesse,corporacao,Undirected,12.00,0.2456
interesse,publico,Undirected,6.00,0.1728
interesse,comercial,Undirected,6.00,0.3456
interesse,rede,Undirected,3.00,0.0378
laboratorio,pesquisa,Undirected,22.00,0.1290
laboratorio,inteligencia,Undirected,6.00,0.0931
laboratorio,artificial,Undirected,5.00,0.0590
laboratorio,pergunta,Undirected,3.00,0.0211
laboratorio,etnografia,Undirected,12.00,0.2229
laboratorio,fapesp,Undirected,3.00,-0.0253
laboratorio,centro,Undirected,5.00,-0.0392
laboratorio,modelo,Undirected,6.00,0.0407
laboratorio,ciencia,Undirected,5.00,0.0937
laboratorio,publico,Undirected,4.00,-0.0119
laboratorio,brasil,Undirected,23.00,0.2550
laboratorio,fabio,Undirected,4.00,-0.0224
laboratorio,claudio,Undirected,5.00,-0.0790
laboratorio,investigacao,Undirected,3.00,0.1171
laboratorio,descrevo,Undirected,3.00,0.0505
laboratorio,pesquisador,Undirected,4.00,0.0360
laboratorio,segui,Undirected,3.00,0.0687
laboratorio,corporacao,Undirected,3.00,-0.0595
laboratorio,fechamento,Undirected,34.00,0.5159
laboratorio,vinculo,Undirected,15.00,0.2774
laboratorio,brasileiro,Undirected,12.00,0.3138
laboratorio,escala,Undirected,4.00,0.0828
laboratorio,research,Undirected,11.00,0.2698
laboratorio,acesso,Undirected,3.00,0.0472
laboratorio,maior,Undirected,6.00,0.1418
laboratorio,gente,Undirected,10.00,0.2377
laboratorio,verbal,Undirected,3.00,0.0779
laboratorio,relacao,Undirected,3.00,0.0758
processamento,modelo,Undirected,4.00,0.1279
processamento,conhecimento,Undirected,3.00,0.1766
processamento,pesquisa,Undirected,8.00,0.1314
processamento,linguagem,Undirected,40.00,0.6761
processamento,natural,Undirected,28.00,0.6952
processamento,dado,Undirected,7.00,0.1926
processamento,tecnologia,Undirected,3.00,0.0672
processamento,aprendizado,Undirected,4.00,0.2876
processamento,infraestrutura,Undirected,3.00,0.1261
processamento,projeto,Undirected,3.00,0.2183
processamento,grupo,Undirected,3.00,0.2043
processamento,empresa,Undirected,3.00,0.0882
partir,etnografia,Undirected,5.00,0.1237
partir,campo,Undirected,5.00,0.0641
partir,pergunta,Undirected,5.00,0.1151
partir,rede,Undirected,5.00,-0.0249
partir,material,Undirected,6.00,0.1688
partir,trajetoria,Undirected,4.00,0.0773
partir,hollerith,Undirected,6.00,0.0963
partir,ator,Undirected,3.00,0.0108
partir,relacoes,Undirected,4.00,0.1526
partir,pesquisa,Undirected,7.00,-0.0025
partir,relatorios,Undirected,17.00,0.3486
partir,posicao,Undirected,6.00,0.1799
partir,publico,Undirected,3.00,-0.0154
partir,arranjo,Undirected,4.00,0.0015
partir,ponto,Undirected,8.00,0.2015
partir,negocio,Undirected,3.00,0.1242
partir,publicacoes,Undirected,3.00,0.0646
partir,relatorio,Undirected,5.00,0.1337
partir,deixa,Undirected,5.00,0.1838
partir,parceria,Undirected,3.00,0.1102
saude,publico,Undirected,6.00,0.1397
saude,pesquisa,Undirected,12.00,0.1043
saude,parte,Undirected,3.00,0.1073
saude,relatorios,Undirected,5.00,0.2171
saude,centro,Undirected,5.00,0.0604
saude,inteligencia,Undirected,6.00,0.1949
saude,artificial,Undirected,9.00,0.2476
saude,fapesp,Undirected,6.00,0.1604
saude,instituicao,Undirected,6.00,0.1723
saude,grupo,Undirected,3.00,0.1655
deixa,rede,Undirected,6.00,0.0881
deixa,questao,Undirected,3.00,0.2030
deixa,dado,Undirected,3.00,0.0571
deixa,relacoes,Undirected,3.00,0.1984
deixa,ponto,Undirected,6.00,0.2495
deixa,historica,Undirected,3.00,0.2030
deixa,bluetalks,Undirected,3.00,0.1814
deixa,trajetoria,Undirected,6.00,0.2225
deixa,posicao,Undirected,3.00,0.1701
deixa,pesquisa,Undirected,8.00,0.0902
deixa,universidade,Undirected,3.00,0.1191
