Source,Target,Type,Weight,npmi
figuracao,objeto,Undirected,4.00,-0.0543
figuracao,militar,Undirected,134.00,0.4637
figuracao,analise,Undirected,9.00,-0.0026
figuracao,latour,Undirected,28.00,0.0791
figuracao,obra,Undirected,13.00,0.1240
figuracao,industria,Undirected,56.00,0.4766
figuracao,descreve,Undirected,23.00,0.1962
figuracao,textil,Undirected,37.00,0.3500
figuracao,ciencia,Undirected,7.00,-0.0527
figuracao,haraway,Undirected,36.00,0.3253
figuracao,descrever,Undirected,4.00,0.0579
figuracao,descricao,Undirected,6.00,0.0995
figuracao,mostra,Undirected,4.00,0.0334
figuracao,tecnociencia,Undirected,20.00,0.1768
figuracao,escrita,Undirected,5.00,0.0679
figuracao,vocabulario,Undirected,13.00,0.0308
figuracao,obras,Undirected,3.00,-0.0643
figuracao,palavras,Undirected,4.00,0.0292
figuracao,conceito,Undirected,3.00,-0.0450
figuracao,parte,Undirected,3.00,-0.0369
figuracao,pratica,Undirected,19.00,0.1796
figuracao,life,Undirected,3.00,0.0134
figuracao,science,Undirected,5.00,-0.0164
figuracao,action,Undirected,6.00,0.0515
figuracao,registro,Undirected,11.00,0.1182
figuracao,aparece,Undirected,8.00,0.1037
figuracao,figuracoes,Undirected,3.00,-0.0704
figuracao,frequencia,Undirected,3.00,0.0405
figuracao,conhecimento,Undirected,5.00,-0.0290
figuracao,etnografia,Undirected,4.00,-0.0176
figuracao,partir,Undirected,6.00,-0.0029
figuracao,tecnica,Undirected,4.00,-0.0287
maquina,tecnociencia,Undirected,11.00,0.1372
maquina,parte,Undirected,6.00,0.0884
maquina,aparece,Undirected,7.00,0.1332
maquina,inteligencia,Undirected,16.00,0.0394
maquina,artificial,Undirected,22.00,0.0841
maquina,aprendizado,Undirected,126.00,0.7102
maquina,humano,Undirected,22.00,0.1699
maquina,tecnologia,Undirected,4.00,-0.0215
maquina,conhecimento,Undirected,11.00,0.1186
maquina,base,Undirected,4.00,0.0913
maquina,linguagem,Undirected,4.00,0.1126
maquina,repositorio,Undirected,3.00,0.0414
maquina,descrever,Undirected,3.00,0.0676
maquina,social,Undirected,3.00,0.0085
maquina,producao,Undirected,3.00,0.0304
maquina,corpus,Undirected,3.00,0.0391
maquina,artigos,Undirected,5.00,0.0628
maquina,capes,Undirected,5.00,0.0552
capes,humano,Undirected,30.00,0.2511
capes,partir,Undirected,3.00,-0.0266
capes,scielo,Undirected,50.00,0.5038
capes,catalogo,Undirected,35.00,0.3478
capes,openalex,Undirected,11.00,0.2546
capes,base,Undirected,12.00,0.2562
capes,producao,Undirected,14.00,0.2497
capes,dado,Undirected,23.00,0.2190
capes,analise,Undirected,4.00,-0.0404
capes,leitura,Undirected,8.00,0.0573
capes,distribuicao,Undirected,11.00,0.2137
capes,corpus,Undirected,9.00,0.1910
capes,defesas,Undirected,21.00,0.3654
capes,area,Undirected,16.00,0.2501
capes,inteligencia,Undirected,4.00,-0.1141
capes,campo,Undirected,7.00,0.0161
capes,conhecimento,Undirected,11.00,0.1289
capes,ciencia,Undirected,16.00,0.1155
capes,artigos,Undirected,9.00,0.1505
capes,mostra,Undirected,6.00,0.1389
capes,interna,Undirected,4.00,0.1556
capes,artificial,Undirected,3.00,-0.1431
capes,aprendizado,Undirected,6.00,0.1315
capes,conceito,Undirected,3.00,0.0067
capes,obras,Undirected,4.00,0.0195
capes,brasileira,Undirected,3.00,0.0735
textual,analise,Undirected,40.00,0.4035
textual,corpus,Undirected,6.00,0.2254
textual,aparece,Undirected,3.00,0.1217
textual,relacao,Undirected,3.00,0.1292
textual,ocorrencias,Undirected,5.00,0.1068
textual,aime,Undirected,10.00,0.2173
textual,rotulo,Undirected,3.00,0.0218
textual,maior,Undirected,3.00,0.1560
textual,quadro,Undirected,3.00,0.1396
textual,campo,Undirected,8.00,0.1274
textual,latour,Undirected,3.00,-0.0481
textual,termos,Undirected,7.00,0.1912
textual,rotulos,Undirected,3.00,0.0701
textual,rede,Undirected,44.00,0.3581
textual,figuracoes,Undirected,3.00,0.0660
aparece,obras,Undirected,6.00,0.1030
aparece,analise,Undirected,7.00,0.0595
aparece,contagem,Undirected,3.00,0.0766
aparece,rotulo,Undirected,19.00,0.2141
aparece,militar,Undirected,25.00,0.2342
aparece,latour,Undirected,5.00,-0.0475
aparece,vocabulario,Undirected,11.00,0.1170
aparece,descricao,Undirected,5.00,0.1649
aparece,tecnociencia,Undirected,6.00,0.0998
aparece,conceito,Undirected,3.00,0.0387
aparece,sustenta,Undirected,3.00,0.0671
aparece,leitura,Undirected,5.00,0.0499
aparece,frequencia,Undirected,3.00,0.1243
aparece,registro,Undirected,10.00,0.2012
aparece,life,Undirected,3.00,0.0972
aparece,industria,Undirected,3.00,0.0999
aparece,topologia,Undirected,3.00,0.0913
aparece,ocorrencias,Undirected,12.00,0.2015
aparece,densidade,Undirected,9.00,0.1986
aparece,network,Undirected,3.00,0.0840
aparece,objeto,Undirected,7.00,0.1018
aparece,livro,Undirected,4.00,0.1248
aparece,lexicometrica,Undirected,3.00,0.1243
aparece,aime,Undirected,19.00,0.2584
aparece,mostra,Undirected,3.00,0.0846
aparece,rotulos,Undirected,9.00,0.1563
aparece,inteligencia,Undirected,8.00,-0.0031
aparece,artificial,Undirected,12.00,0.0476
aparece,antropologia,Undirected,6.00,0.1218
aparece,defesas,Undirected,6.00,0.1977
aparece,sociologia,Undirected,3.00,0.1176
aparece,brasileira,Undirected,5.00,0.1709
aparece,aprendizado,Undirected,3.00,0.0777
aparece,artigos,Undirected,4.00,0.0782
aparece,partir,Undirected,3.00,0.0053
aparece,openalex,Undirected,3.00,0.1084
aparece,estudos,Undirected,3.00,0.0560
descricao,figuracoes,Undirected,4.00,0.0780
descricao,etnografia,Undirected,11.00,0.2425
descricao,pesquisa,Undirected,3.00,0.0555
descricao,teoria,Undirected,8.00,0.1709
descricao,ciencia,Undirected,3.00,-0.0259
descricao,descrever,Undirected,4.00,0.1761
descricao,sustenta,Undirected,10.00,0.2642
descricao,vocabulario,Undirected,4.00,0.0212
descricao,militar,Undirected,6.00,0.0592
descricao,tecnociencia,Undirected,17.00,0.2923
descricao,industria,Undirected,3.00,0.1306
descricao,rede,Undirected,4.00,0.0121
descricao,pratica,Undirected,22.00,0.3502
descricao,objeto,Undirected,17.00,0.2716
descricao,livros,Undirected,4.00,0.1784
descricao,descreve,Undirected,4.00,0.0843
descricao,escrita,Undirected,3.00,0.1227
descricao,parte,Undirected,3.00,0.0776
figuracoes,analise,Undirected,74.00,0.3910
figuracoes,lexicometrica,Undirected,12.00,0.2594
figuracoes,obra,Undirected,24.00,0.2577
figuracoes,latour,Undirected,36.00,0.1381
figuracoes,haraway,Undirected,18.00,0.2524
figuracoes,textil,Undirected,5.00,0.0755
figuracoes,pratica,Undirected,8.00,0.0938
figuracoes,etapa,Undirected,8.00,0.1240
figuracoes,descreve,Undirected,9.00,0.0952
figuracoes,escrita,Undirected,12.00,0.2213
figuracoes,pesquisa,Undirected,3.00,-0.0310
figuracoes,tecnociencia,Undirected,16.00,0.1760
figuracoes,obras,Undirected,7.00,0.0620
figuracoes,parte,Undirected,5.00,0.0497
figuracoes,contagem,Undirected,9.00,0.1602
figuracoes,secao,Undirected,5.00,0.0659
figuracoes,rotulos,Undirected,4.00,-0.0070
figuracoes,catalogo,Undirected,3.00,-0.0379
figuracoes,frequencia,Undirected,6.00,0.1561
figuracoes,distribuicao,Undirected,6.00,0.1010
figuracoes,figuras,Undirected,3.00,0.0421
figuracoes,objeto,Undirected,4.00,-0.0254
figuracoes,teoria,Undirected,5.00,0.0156
figuracoes,descrever,Undirected,3.00,0.0527
figuracoes,industria,Undirected,3.00,0.0441
figuracoes,partir,Undirected,6.00,0.0274
figuracoes,leitura,Undirected,3.00,-0.0644
figuracoes,lado,Undirected,9.00,0.1427
sistemas,sociologia,Undirected,11.00,0.2576
sistemas,sustenta,Undirected,15.00,0.2479
sistemas,hope,Undirected,4.00,0.0929
sistemas,inteligencia,Undirected,42.00,0.1965
sistemas,artificial,Undirected,28.00,0.1248
sistemas,generativa,Undirected,5.00,0.0914
sistemas,tecnociencia,Undirected,4.00,0.0096
sistemas,social,Undirected,7.00,0.1138
sistemas,tecnologia,Undirected,8.00,0.0639
sistemas,teoria,Undirected,5.00,0.0337
sistemas,objeto,Undirected,5.00,0.0179
sistemas,secao,Undirected,6.00,0.1073
sistemas,conhecimento,Undirected,8.00,0.0600
sistemas,mostra,Undirected,3.00,0.0459
sistemas,humano,Undirected,5.00,-0.0156
sistemas,latour,Undirected,5.00,-0.0885
sistemas,dado,Undirected,5.00,-0.0035
partir,sistema,Undirected,4.00,0.0312
partir,inteligencia,Undirected,8.00,-0.0745
partir,artificial,Undirected,14.00,-0.0079
partir,ciencia,Undirected,4.00,-0.0919
partir,humano,Undirected,13.00,0.0658
partir,scielo,Undirected,3.00,0.0095
partir,livros,Undirected,3.00,0.0468
partir,repositorio,Undirected,7.00,0.1224
partir,action,Undirected,3.00,-0.0082
partir,dado,Undirected,6.00,-0.0092
partir,leitura,Undirected,11.00,0.0810
partir,conceito,Undirected,10.00,0.1227
partir,rotulos,Undirected,7.00,0.0510
partir,topologia,Undirected,3.00,0.0275
partir,analise,Undirected,9.00,0.0201
partir,corpus,Undirected,5.00,0.0762
partir,teoria,Undirected,3.00,-0.0492
partir,ator,Undirected,4.00,-0.0020
partir,ocorrencias,Undirected,3.00,-0.0444
partir,latour,Undirected,10.00,-0.0378
partir,rede,Undirected,6.00,-0.0416
partir,tecnologia,Undirected,3.00,-0.0752
partir,sociologia,Undirected,3.00,0.0538
partir,mediacao,Undirected,3.00,0.0439
partir,tecnica,Undirected,3.00,-0.0394
partir,palavras,Undirected,3.00,0.0167
partir,area,Undirected,5.00,0.0480
partir,base,Undirected,10.00,0.1908
partir,social,Undirected,3.00,-0.0144
partir,interna,Undirected,4.00,0.1228
partir,etnografia,Undirected,6.00,0.0511
partir,relacao,Undirected,3.00,0.0128
partir,haraway,Undirected,8.00,0.1278
partir,figuras,Undirected,4.00,0.0676
partir,cadeia,Undirected,3.00,-0.0002
partir,digital,Undirected,4.00,0.0406
partir,aprendizado,Undirected,6.00,0.0970
partir,registro,Undirected,3.00,-0.0207
partir,brasileira,Undirected,6.00,0.1271
partir,catalogo,Undirected,21.00,0.2118
partir,generativa,Undirected,9.00,0.1425
partir,campo,Undirected,3.00,-0.1099
partir,openalex,Undirected,13.00,0.2440
tecnociencia,descrever,Undirected,12.00,0.2444
tecnociencia,rede,Undirected,6.00,-0.0295
tecnociencia,tecnologia,Undirected,4.00,-0.0337
tecnociencia,parte,Undirected,10.00,0.1449
tecnociencia,pesquisa,Undirected,11.00,0.1331
tecnociencia,pratica,Undirected,34.00,0.3336
tecnociencia,descreve,Undirected,46.00,0.3734
tecnociencia,militar,Undirected,8.00,0.0031
tecnociencia,producao,Undirected,16.00,0.2467
tecnociencia,latour,Undirected,14.00,0.0182
tecnociencia,termos,Undirected,5.00,0.0334
tecnociencia,lado,Undirected,4.00,0.0738
tecnociencia,action,Undirected,3.00,0.0030
tecnociencia,registro,Undirected,4.00,0.0226
tecnociencia,sustenta,Undirected,4.00,0.0474
tecnociencia,teoria,Undirected,15.00,0.1568
tecnociencia,contagem,Undirected,3.00,0.0240
tecnociencia,vocabulario,Undirected,3.00,-0.0943
tecnociencia,objeto,Undirected,4.00,-0.0221
tecnociencia,rotulo,Undirected,5.00,-0.0292
tecnociencia,livros,Undirected,4.00,0.0924
tecnociencia,textil,Undirected,4.00,0.0517
tecnociencia,escrita,Undirected,5.00,0.1008
tecnociencia,artigos,Undirected,5.00,0.0504
tecnociencia,aime,Undirected,3.00,-0.0481
tecnociencia,haraway,Undirected,11.00,0.1866
tecnociencia,ciencia,Undirected,12.00,0.0498
tecnociencia,conhecimento,Undirected,10.00,0.0916
tecnociencia,ator,Undirected,4.00,0.0096
tecnociencia,tecnica,Undirected,5.00,0.0293
tecnociencia,campo,Undirected,3.00,-0.0987
tecnociencia,mostra,Undirected,4.00,0.0655
tecnociencia,antropologia,Undirected,3.00,-0.0158
tecnociencia,secao,Undirected,5.00,0.0692
maior,parte,Undirected,27.00,0.4227
maior,campo,Undirected,5.00,0.0466
maior,rotulos,Undirected,5.00,0.1139
maior,densidade,Undirected,6.00,0.1781
maior,obra,Undirected,4.00,0.0963
maior,obras,Undirected,7.00,0.1612
maior,sustenta,Undirected,7.00,0.2137
