Id,Label,community,frequency,degree_weighted,betweenness,pagerank
conjunto,conjunto,3,34,155.0000,0.000000,0.003532
figuracao,figuracao,1,118,616.0000,0.044253,0.011465
maquina,maquina,4,77,356.0000,0.004959,0.007264
joler,joler,6,25,82.0000,0.007532,0.003042
graduacao,graduacao,2,31,157.0000,0.001193,0.003814
capes,capes,3,73,410.0000,0.083799,0.008216
textual,textual,0,34,170.0000,0.000000,0.003703
passa,passa,0,31,145.0000,0.000000,0.003395
contexto,contexto,4,23,79.0000,0.000000,0.002243
classificacao,classificacao,3,23,78.0000,0.000000,0.002305
termo,termo,0,48,157.0000,0.000000,0.003645
laboratorio,laboratorio,0,25,136.0000,0.000000,0.003430
problema,problema,2,42,117.0000,0.000000,0.002971
aparece,aparece,1,53,320.0000,0.004645,0.006295
registra,registra,1,28,142.0000,0.000000,0.003237
descricao,descricao,0,40,183.0000,0.000314,0.004075
lugar,lugar,2,33,124.0000,0.000000,0.003088
figuracoes,figuracoes,0,90,412.0000,0.052476,0.008225
sistemas,sistemas,4,76,259.0000,0.014751,0.005644
mundo,mundo,0,31,104.0000,0.000000,0.002750
cultura,cultura,4,27,81.0000,0.000000,0.002390
crawford,crawford,6,23,64.0000,0.000502,0.002589
partir,partir,3,95,391.0000,0.001569,0.008033
tecnociencia,tecnociencia,0,86,466.0000,0.035779,0.009266
maior,maior,0,39,219.0000,0.000628,0.004823
descreve,descreve,0,84,449.0000,0.044191,0.008886
dado,dado,3,121,417.0000,0.030444,0.008784
sociologia,sociologia,2,34,186.0000,0.001695,0.004358
producao,producao,2,52,285.0000,0.012868,0.006242
pesquisa,pesquisa,4,80,357.0000,0.015191,0.007427
posicao,posicao,2,35,89.0000,0.000000,0.002480
disponivel,disponivel,2,23,84.0000,0.000063,0.002573
ator,ator,0,76,466.0000,0.010922,0.008704
trajectory,trajectory,1,25,79.0000,0.002825,0.002307
obras,obras,3,84,444.0000,0.034838,0.008720
objeto,objeto,4,100,450.0000,0.007344,0.008719
mediacao,mediacao,4,38,207.0000,0.000000,0.004494
openalex,openalex,3,37,211.0000,0.001004,0.004780
industria,industria,1,40,239.0000,0.000000,0.004690
artigo,artigo,1,33,124.0000,0.000000,0.003065
sustenta,sustenta,0,54,279.0000,0.006654,0.006082
lexicometrica,lexicometrica,0,32,219.0000,0.000000,0.004590
parte,parte,0,65,289.0000,0.008411,0.006141
descrevo,descrevo,4,25,105.0000,0.000000,0.002786
registro,registro,1,68,311.0000,0.007595,0.006302
refinada,refinada,1,23,154.0000,0.000000,0.003321
haraway,haraway,0,53,227.0000,0.025359,0.005142
pergunta,pergunta,0,44,104.0000,0.000000,0.002882
interna,interna,3,25,164.0000,0.000126,0.003954
humanidades,humanidades,3,26,135.0000,0.000628,0.003357
objetivo,objetivo,2,23,40.0000,0.000000,0.001554
ocorrencias,ocorrencias,1,85,515.0000,0.016760,0.009435
clarifications,clarifications,1,32,189.0000,0.000314,0.003973
figural,figural,1,25,96.0000,0.000063,0.002503
estudos,estudos,2,60,352.0000,0.000000,0.006763
imagem,imagem,3,26,64.0000,0.000000,0.002004
grupo,grupo,2,25,79.0000,0.000126,0.002446
cadeia,cadeia,4,56,178.0000,0.006716,0.004383
university,university,2,25,76.0000,0.000000,0.003382
rede,rede,0,162,809.0000,0.069362,0.015323
sistema,sistema,4,57,160.0000,0.000000,0.003836
hope,hope,5,41,327.0000,0.000188,0.006098
teoria,teoria,0,88,527.0000,0.052225,0.009689
publico,publico,3,35,160.0000,0.004519,0.003652
topologico,topologico,1,25,186.0000,0.007595,0.003926
stengers,stengers,0,26,106.0000,0.000000,0.002741
produz,produz,0,27,97.0000,0.000000,0.002657
action,action,5,60,465.0000,0.001695,0.008367
laboratory,laboratory,5,37,275.0000,0.009227,0.005294
quadro,quadro,1,45,197.0000,0.012931,0.004837
taxa,taxa,3,25,149.0000,0.006528,0.003685
vocabulario,vocabulario,1,150,764.0000,0.136966,0.013867
frequencia,frequencia,1,32,217.0000,0.001067,0.004490
defesas,defesas,2,38,232.0000,0.000000,0.004886
corpus,corpus,3,48,264.0000,0.001695,0.005440
fato,fato,0,27,78.0000,0.002009,0.002473
sociais,sociais,2,57,281.0000,0.010797,0.005557
base,base,3,41,170.0000,0.000126,0.003942
recalling,recalling,1,28,157.0000,0.000000,0.003455
mapeamento,mapeamento,1,23,117.0000,0.000000,0.002968
presenca,presenca,2,23,105.0000,0.000000,0.002720
gesto,gesto,0,47,137.0000,0.000000,0.003441
forsythe,forsythe,2,40,121.0000,0.000251,0.003247
termos,termos,1,77,291.0000,0.007909,0.005802
relacoes,relacoes,2,29,94.0000,0.000000,0.002619
cientifico,cientifico,0,34,148.0000,0.016634,0.003697
analise,analise,0,143,766.0000,0.054108,0.014568
livro,livro,1,44,197.0000,0.000000,0.004268
torna,torna,0,37,125.0000,0.000000,0.003125
densidade,densidade,1,61,413.0000,0.000000,0.007814
artigos,artigos,3,67,381.0000,0.003703,0.007434
pessoas,pessoas,4,29,64.0000,0.000000,0.002100
infraestrutura,infraestrutura,0,37,90.0000,0.000000,0.002592
network,network,1,49,219.0000,0.000942,0.004527
science,science,5,90,489.0000,0.012994,0.008834
brasil,brasil,3,35,137.0000,0.000188,0.003482
campo,campo,2,152,660.0000,0.045854,0.012813
modelo,modelo,4,87,280.0000,0.032515,0.006238
descrever,descrever,0,37,182.0000,0.000000,0.004004
linguagem,linguagem,4,34,172.0000,0.002825,0.003948
subcampos,subcampos,3,31,131.0000,0.000188,0.003267
militar,militar,1,162,1114.0000,0.142646,0.019130
etnografia,etnografia,0,73,292.0000,0.018455,0.006201
tecnica,tecnica,4,80,326.0000,0.007909,0.006681
investigacao,investigacao,2,27,117.0000,0.000126,0.003186
pesquisador,pesquisador,4,31,93.0000,0.000000,0.002522
lado,lado,0,48,173.0000,0.000000,0.004039
scielo,scielo,3,51,320.0000,0.021405,0.006668
metodo,metodo,3,34,125.0000,0.000000,0.003066
palavras,palavras,1,49,330.0000,0.000000,0.006298
digital,digital,2,55,205.0000,0.000565,0.004649
relacao,relacao,0,50,178.0000,0.000188,0.004132
recorte,recorte,3,39,161.0000,0.000000,0.003787
aliados,aliados,0,26,67.0000,0.000000,0.002017
figuras,figuras,3,41,183.0000,0.000377,0.004230
centro,centro,4,28,67.0000,0.000000,0.002050
aime,aime,1,97,552.0000,0.047580,0.010492
etapa,etapa,1,60,334.0000,0.014500,0.006580
leitura,leitura,3,108,424.0000,0.020087,0.008481
momento,momento,0,35,132.0000,0.000000,0.003273
vida,vida,2,24,77.0000,0.000000,0.002338
acao,acao,0,35,154.0000,0.000000,0.003573
trabalhos,trabalhos,3,26,129.0000,0.001695,0.003192
passo,passo,4,29,129.0000,0.000000,0.003151
actante,actante,0,32,102.0000,0.000126,0.002808
humano,humano,2,145,690.0000,0.053230,0.013042
ponto,ponto,0,46,145.0000,0.000000,0.003529
life,life,5,41,275.0000,0.000439,0.005279
collins,collins,2,42,125.0000,0.001067,0.003299
social,social,2,64,163.0000,0.006779,0.003865
obra,obra,0,80,387.0000,0.003452,0.007419
subcampo,subcampo,3,26,137.0000,0.000000,0.003294
brasileira,brasileira,2,38,196.0000,0.014061,0.004721
funciona,funciona,0,25,118.0000,0.000000,0.002987
mulheres,mulheres,4,25,70.0000,0.000063,0.002203
rotulo,rotulo,1,136,879.0000,0.094784,0.015567
escala,escala,0,23,88.0000,0.000000,0.002397
mostra,mostra,3,46,246.0000,0.000439,0.005287
argumento,argumento,0,40,129.0000,0.000063,0.003367
livros,livros,1,37,205.0000,0.000126,0.004253
material,material,3,25,94.0000,0.000000,0.002589
latour,latour,0,253,1149.0000,0.324368,0.021034
secao,secao,0,57,241.0000,0.000690,0.005294
inteligencia,inteligencia,4,274,1854.0000,0.215649,0.031941
volume,volume,3,35,119.0000,0.000000,0.003048
movimento,movimento,2,28,108.0000,0.000000,0.002835
reune,reune,3,24,117.0000,0.000000,0.003078
catalogo,catalogo,1,88,521.0000,0.070115,0.009901
pratica,pratica,0,75,356.0000,0.032390,0.007243
artificial,artificial,4,277,1861.0000,0.209152,0.031953
area,area,2,63,331.0000,0.024857,0.006804
generativa,generativa,4,53,312.0000,0.005838,0.006118
press,press,2,31,93.0000,0.011173,0.003885
questao,questao,2,28,83.0000,0.000000,0.002364
conceito,conceito,0,70,300.0000,0.068608,0.006160
permanece,permanece,1,24,105.0000,0.000000,0.002616
claude,claude,0,52,132.0000,0.000000,0.003302
propoe,propoe,0,25,138.0000,0.000000,0.003325
conclusao,conclusao,1,31,128.0000,0.000000,0.003321
conhecimento,conhecimento,2,101,363.0000,0.023727,0.007918
aprendizado,aprendizado,4,53,304.0000,0.012680,0.006057
rotulos,rotulos,1,88,546.0000,0.024229,0.010109
lexical,lexical,1,25,160.0000,0.000000,0.003514
distribuicao,distribuicao,3,51,355.0000,0.009290,0.006987
pandora,pandora,5,47,371.0000,0.016760,0.006807
repositorio,repositorio,3,47,237.0000,0.018141,0.005169
antropologia,antropologia,2,72,382.0000,0.024794,0.007806
topologia,topologia,1,44,309.0000,0.015818,0.006017
bases,bases,3,33,128.0000,0.000126,0.003223
extracao,extracao,4,25,71.0000,0.000126,0.002182
regra,regra,0,27,36.0000,0.000000,0.001590
ocorrencia,ocorrencia,1,32,150.0000,0.000063,0.003414
tecnologia,tecnologia,2,111,511.0000,0.030193,0.009948
ciencia,ciencia,2,170,1025.0000,0.143494,0.018608
traducao,traducao,2,25,122.0000,0.006968,0.003467
acesso,acesso,2,24,85.0000,0.004896,0.002536
contagem,contagem,1,51,265.0000,0.000314,0.005286
textil,textil,1,52,380.0000,0.000628,0.007170
modos,modos,2,33,132.0000,0.003955,0.003407
escrita,escrita,0,43,199.0000,0.016258,0.004534
