Id,Label,community,frequency,degree_weighted,betweenness,pagerank
conjunto,conjunto,1,42,152.0000,0.000000,0.003646
deteccao,deteccao,6,32,191.0000,0.000000,0.004244
contexto,contexto,4,40,149.0000,0.000000,0.003669
frequencias,frequencias,1,42,122.0000,0.000722,0.003251
mapa,mapa,0,28,119.0000,0.010922,0.003209
grade,grade,1,34,126.0000,0.000063,0.003414
algoritmo,algoritmo,1,48,192.0000,0.000063,0.004688
laboratorio,laboratorio,2,85,350.0000,0.000188,0.007593
controles,controles,4,42,170.0000,0.000314,0.004080
aparece,aparece,3,51,191.0000,0.001287,0.004459
diferentes,diferentes,5,39,168.0000,0.000000,0.003994
descricao,descricao,2,31,140.0000,0.011110,0.003546
marcelo,marcelo,2,153,617.0000,0.025924,0.012565
processamento,processamento,1,39,182.0000,0.001318,0.004532
computacional,computacional,1,45,190.0000,0.000063,0.004430
mundo,mundo,2,41,141.0000,0.000000,0.003529
padrao,padrao,1,33,117.0000,0.000000,0.003182
partir,partir,3,102,403.0000,0.000565,0.008497
saude,saude,2,27,88.0000,0.000314,0.002652
tecnociencia,tecnociencia,0,30,144.0000,0.000000,0.003440
descreve,descreve,0,55,264.0000,0.007784,0.005842
dado,dado,1,193,730.0000,0.063775,0.014777
ausencia,ausencia,3,39,134.0000,0.000126,0.003480
espectrogramas,espectrogramas,1,29,106.0000,0.000000,0.002932
dispositivo,dispositivo,0,77,349.0000,0.002574,0.007494
producao,producao,4,41,198.0000,0.000000,0.004539
translacao,translacao,0,56,271.0000,0.001883,0.005905
arquivo,arquivo,3,62,297.0000,0.018580,0.006582
pesquisa,pesquisa,2,50,185.0000,0.000188,0.004568
disponivel,disponivel,2,37,159.0000,0.001883,0.004041
ator,ator,7,35,121.0000,0.000000,0.003087
nenhum,nenhum,4,39,129.0000,0.000000,0.003316
audio,audio,1,107,414.0000,0.016132,0.008858
covideiro,covideiro,4,238,1183.0000,0.207394,0.023420
designa,designa,5,27,110.0000,0.000628,0.002977
calculo,calculo,2,28,163.0000,0.000000,0.004006
objeto,objeto,5,210,886.0000,0.093654,0.017867
onda,onda,3,43,148.0000,0.000000,0.003725
entrada,entrada,7,29,102.0000,0.000000,0.002774
existir,existir,5,28,148.0000,0.000000,0.003731
artigo,artigo,2,209,890.0000,0.097420,0.017796
enfermaria,enfermaria,4,65,261.0000,0.001883,0.005865
corpo,corpo,3,61,245.0000,0.003013,0.005731
parte,parte,0,27,119.0000,0.000000,0.003231
projeto,projeto,2,139,655.0000,0.048459,0.013240
versao,versao,6,43,174.0000,0.001193,0.004139
registro,registro,1,28,75.0000,0.000000,0.002297
coeficientes,coeficientes,1,53,164.0000,0.000000,0.004160
observador,observador,1,39,150.0000,0.000000,0.003712
associacao,associacao,7,38,139.0000,0.000000,0.003490
clinica,clinica,5,39,172.0000,0.004896,0.004256
neural,neural,7,43,233.0000,0.000000,0.005026
inscrito,inscrito,3,34,165.0000,0.000000,0.003982
dataset,dataset,2,67,332.0000,0.006026,0.007127
acustica,acustica,6,38,188.0000,0.009227,0.004356
imagem,imagem,3,88,282.0000,0.000816,0.006359
grupo,grupo,3,37,155.0000,0.000000,0.003888
fonoaudiologos,fonoaudiologos,4,55,213.0000,0.010797,0.004873
processo,processo,0,45,146.0000,0.002385,0.003761
medicos,medicos,4,42,113.0000,0.000000,0.002996
corpos,corpos,4,28,77.0000,0.000000,0.002343
cadeia,cadeia,0,224,1027.0000,0.126608,0.020636
rede,rede,7,224,944.0000,0.096416,0.019009
sistema,sistema,2,72,250.0000,0.000000,0.005594
respiratoria,respiratoria,6,114,765.0000,0.074885,0.014464
gravacao,gravacao,3,35,145.0000,0.006465,0.003644
painel,painel,0,28,36.0000,0.000000,0.001518
fapesp,fapesp,2,41,87.0000,0.000000,0.002493
pandemia,pandemia,6,33,133.0000,0.000251,0.003388
movel,movel,0,35,194.0000,0.000000,0.004623
circular,circular,2,31,129.0000,0.000000,0.003301
publico,publico,2,41,182.0000,0.011989,0.004449
valores,valores,1,28,62.0000,0.000000,0.002110
produz,produz,3,56,294.0000,0.000942,0.006595
spira,spira,2,419,1902.0000,0.550279,0.037258
vocabulario,vocabulario,0,40,155.0000,0.000000,0.003830
frequencia,frequencia,1,53,121.0000,0.002323,0.003246
treinamento,treinamento,1,40,200.0000,0.000377,0.004719
ruido,ruido,4,82,376.0000,0.029314,0.008301
corpus,corpus,1,29,77.0000,0.000000,0.002356
codigo,codigo,0,51,173.0000,0.000000,0.004211
condicoes,condicoes,4,122,436.0000,0.011299,0.009065
referencia,referencia,0,40,156.0000,0.011487,0.003818
presenca,presenca,3,28,133.0000,0.000000,0.003422
treinado,treinado,1,30,191.0000,0.000000,0.004452
gesto,gesto,0,42,130.0000,0.000000,0.003286
termos,termos,0,60,238.0000,0.000000,0.005370
tornar,tornar,0,28,114.0000,0.000000,0.003010
pessoa,pessoa,3,27,50.0000,0.000000,0.001857
cientifico,cientifico,2,101,430.0000,0.000000,0.008778
microfone,microfone,3,40,116.0000,0.000126,0.003204
