Id,Label,community,frequency,degree_weighted,betweenness,pagerank
deteccao,deteccao,5,32,161.0000,0.000000,0.006613
algoritmo,algoritmo,0,48,104.0000,0.000000,0.005063
laboratorio,laboratorio,4,85,234.0000,0.000000,0.009280
controles,controles,0,42,128.0000,0.000618,0.005945
aparece,aparece,3,51,142.0000,0.001546,0.006272
diferentes,diferentes,6,39,113.0000,0.000000,0.005168
marcelo,marcelo,4,153,487.0000,0.043496,0.017884
processamento,processamento,4,39,88.0000,0.000825,0.004587
computacional,computacional,0,45,128.0000,0.000000,0.005744
partir,partir,4,102,296.0000,0.000000,0.011453
descreve,descreve,7,55,203.0000,0.015873,0.008353
dado,dado,0,193,552.0000,0.050505,0.020123
dispositivo,dispositivo,1,77,257.0000,0.004535,0.010269
producao,producao,2,41,147.0000,0.000000,0.006343
translacao,translacao,1,56,194.0000,0.002680,0.007855
arquivo,arquivo,0,62,208.0000,0.028448,0.008618
pesquisa,pesquisa,4,50,113.0000,0.000000,0.005522
disponivel,disponivel,0,37,87.0000,0.000000,0.004549
audio,audio,0,107,301.0000,0.017110,0.011851
covideiro,covideiro,2,238,894.0000,0.196867,0.031634
calculo,calculo,4,28,136.0000,0.000000,0.006363
objeto,objeto,6,210,673.0000,0.112142,0.024562
artigo,artigo,3,209,662.0000,0.071738,0.023506
enfermaria,enfermaria,0,65,195.0000,0.001855,0.008357
corpo,corpo,0,61,153.0000,0.000412,0.006793
projeto,projeto,3,139,497.0000,0.020408,0.018085
versao,versao,5,43,117.0000,0.001031,0.005274
coeficientes,coeficientes,0,53,82.0000,0.000000,0.004282
clinica,clinica,6,39,89.0000,0.000000,0.004533
neural,neural,4,43,189.0000,0.000000,0.007316
inscrito,inscrito,2,34,111.0000,0.000000,0.005256
dataset,dataset,3,67,247.0000,0.000000,0.009725
acustica,acustica,5,38,139.0000,0.000000,0.005973
imagem,imagem,1,88,201.0000,0.001649,0.008437
fonoaudiologos,fonoaudiologos,1,55,126.0000,0.000000,0.005521
cadeia,cadeia,1,224,714.0000,0.087199,0.025832
rede,rede,4,224,674.0000,0.035457,0.023986
sistema,sistema,2,72,186.0000,0.000000,0.007775
respiratoria,respiratoria,5,114,663.0000,0.066790,0.022197
movel,movel,7,35,151.0000,0.000000,0.007076
publico,publico,3,41,131.0000,0.001031,0.006046
produz,produz,6,56,190.0000,0.001031,0.007932
spira,spira,3,419,1489.0000,0.560915,0.051864
treinamento,treinamento,0,40,138.0000,0.000825,0.006297
ruido,ruido,0,82,244.0000,0.030921,0.010213
codigo,codigo,3,51,117.0000,0.000000,0.005541
condicoes,condicoes,2,122,351.0000,0.020614,0.013320
treinado,treinado,0,30,129.0000,0.000000,0.005744
termos,termos,1,60,160.0000,0.000000,0.006745
cientifico,cientifico,3,101,360.0000,0.000000,0.013147
analise,analise,3,85,312.0000,0.013399,0.011851
torna,torna,1,76,248.0000,0.020614,0.010326
distintos,distintos,6,43,154.0000,0.000000,0.006585
coleta,coleta,2,121,399.0000,0.050299,0.015394
artigos,artigos,3,117,417.0000,0.000000,0.014937
pacientes,pacientes,5,94,296.0000,0.010307,0.011539
configuracao,configuracao,2,57,151.0000,0.000000,0.006602
campo,campo,4,50,142.0000,0.000618,0.006685
tornou,tornou,1,38,147.0000,0.003917,0.006555
modelo,modelo,0,175,481.0000,0.056483,0.018150
covid,covid,5,83,314.0000,0.006803,0.011853
espectrograma,espectrograma,1,124,390.0000,0.054319,0.014914
etnografia,etnografia,1,44,141.0000,0.000206,0.006493
pesquisador,pesquisador,4,61,127.0000,0.000000,0.005831
programa,programa,2,45,166.0000,0.019790,0.007430
metodo,metodo,3,45,132.0000,0.000206,0.006031
acustico,acustico,0,41,121.0000,0.000000,0.005660
paciente,paciente,0,67,240.0000,0.017728,0.009917
centro,centro,4,58,225.0000,0.020202,0.009723
etapa,etapa,1,49,120.0000,0.000000,0.005460
pandemico,pandemico,2,49,236.0000,0.000000,0.009004
momento,momento,1,44,90.0000,0.001031,0.004688
visivel,visivel,1,51,152.0000,0.001031,0.006834
acao,acao,2,38,109.0000,0.000000,0.005330
actante,actante,2,112,352.0000,0.021851,0.013662
entrevista,entrevista,4,73,227.0000,0.002268,0.008856
humano,humano,2,81,153.0000,0.000206,0.006830
ponto,ponto,1,87,231.0000,0.000000,0.009359
resultado,resultado,1,54,95.0000,0.000000,0.004705
distintas,distintas,6,46,129.0000,0.000000,0.005819
instituicao,instituicao,3,66,123.0000,0.038755,0.005624
virus,virus,2,82,181.0000,0.001031,0.007817
causas,causas,5,34,141.0000,0.000000,0.005958
celular,celular,0,69,164.0000,0.000618,0.007318
escala,escala,0,67,75.0000,0.000000,0.004056
argumento,argumento,7,48,101.0000,0.000000,0.004920
hospitais,hospitais,5,45,140.0000,0.000825,0.006145
latour,latour,7,88,223.0000,0.004535,0.009563
secao,secao,3,98,248.0000,0.000000,0.009873
movimento,movimento,1,47,112.0000,0.000000,0.005305
imutavel,imutavel,7,30,147.0000,0.002268,0.006980
sinal,sinal,0,100,280.0000,0.027005,0.011314
fala,fala,0,62,147.0000,0.000000,0.006648
condicao,condicao,6,79,229.0000,0.017316,0.009378
pratica,pratica,6,101,285.0000,0.041022,0.011435
possivel,possivel,1,47,171.0000,0.001443,0.007465
insuficiencia,insuficiencia,5,107,660.0000,0.021439,0.022179
repositorio,repositorio,0,37,150.0000,0.002061,0.006713
protocolo,protocolo,2,51,111.0000,0.000000,0.005235
inscricao,inscricao,1,245,782.0000,0.211606,0.028233
