Id,Label,community,frequency,degree_weighted,betweenness,pagerank
relacao,relacao,3,76,270.0000,0.019481,0.013672
maquina,maquina,3,75,245.0000,0.025562,0.012639
sustenta,sustenta,0,36,124.0000,0.002268,0.007184
pesquisa,pesquisa,0,222,734.0000,0.251804,0.034371
mundo,mundo,0,38,100.0000,0.000206,0.006059
modos,modos,0,42,83.0000,0.008658,0.005119
centro,centro,4,42,125.0000,0.000000,0.006797
lugar,lugar,2,64,137.0000,0.000000,0.007742
condicao,condicao,0,39,71.0000,0.000000,0.004743
simetria,simetria,1,23,103.0000,0.002886,0.006027
ausencia,ausencia,6,27,164.0000,0.000000,0.009391
plano,plano,3,38,186.0000,0.003195,0.009985
possivel,possivel,0,26,80.0000,0.000000,0.005061
kofes,kofes,1,30,93.0000,0.002886,0.005678
rede,rede,4,265,982.0000,0.354154,0.044807
argumento,argumento,1,41,84.0000,0.000000,0.005298
agencia,agencia,3,41,131.0000,0.002061,0.007682
tecnico,tecnico,2,38,136.0000,0.001237,0.007958
existencia,existencia,3,28,144.0000,0.000412,0.008193
analise,analise,4,77,262.0000,0.005154,0.012958
decisoes,decisoes,1,26,94.0000,0.002268,0.005633
parciais,parciais,1,38,160.0000,0.000825,0.009021
textual,textual,4,28,149.0000,0.000412,0.007703
partir,partir,1,51,150.0000,0.001443,0.008178
escrita,escrita,2,50,181.0000,0.000000,0.009429
existencias,existencias,1,29,149.0000,0.018759,0.008481
descrever,descrever,5,36,98.0000,0.000000,0.005727
claude,claude,5,81,180.0000,0.023913,0.009126
tecnologia,tecnologia,2,49,138.0000,0.000000,0.007541
pensar,pensar,1,45,128.0000,0.000412,0.007378
registro,registro,0,36,95.0000,0.000000,0.005688
conexao,conexao,3,24,128.0000,0.000825,0.007352
efeito,efeito,3,22,92.0000,0.011544,0.005500
campo,campo,2,140,414.0000,0.087508,0.019924
pratica,pratica,0,92,275.0000,0.006597,0.013699
actante,actante,4,57,104.0000,0.002268,0.006409
spira,spira,4,46,99.0000,0.000000,0.005724
secao,secao,1,50,187.0000,0.001443,0.010190
conceito,conceito,1,64,172.0000,0.001855,0.009144
parcial,parcial,3,34,215.0000,0.040816,0.011617
associacao,associacao,4,44,88.0000,0.000000,0.005636
termos,termos,3,63,96.0000,0.000000,0.005763
descricao,descricao,0,72,315.0000,0.088023,0.015744
strathern,strathern,1,70,266.0000,0.020408,0.013737
modelo,modelo,5,86,239.0000,0.020408,0.012688
corte,corte,1,88,329.0000,0.123686,0.016364
figuracao,figuracao,1,51,155.0000,0.000412,0.008689
material,material,0,41,124.0000,0.000000,0.007097
metodo,metodo,1,108,338.0000,0.039167,0.016680
construcao,construcao,2,35,137.0000,0.000000,0.007243
materiais,materiais,0,45,82.0000,0.000000,0.005199
textil,textil,1,41,154.0000,0.009689,0.008719
conceitos,conceitos,1,48,71.0000,0.000000,0.004666
humano,humano,3,122,314.0000,0.021645,0.015939
linguagem,linguagem,5,42,118.0000,0.000000,0.006817
conhecimento,conhecimento,0,47,130.0000,0.000000,0.007334
termo,termo,2,37,89.0000,0.000000,0.005499
nomeia,nomeia,1,36,132.0000,0.006803,0.007575
artificial,artificial,5,105,635.0000,0.023294,0.026499
instituicao,instituicao,0,38,75.0000,0.000000,0.004993
seguir,seguir,4,29,89.0000,0.000206,0.005680
inteligencia,inteligencia,5,105,616.0000,0.019584,0.025759
presenca,presenca,6,27,146.0000,0.016904,0.008438
sistemas,sistemas,5,36,88.0000,0.000000,0.005244
formulacao,formulacao,1,51,123.0000,0.000206,0.007038
compostagem,compostagem,0,33,114.0000,0.000000,0.006791
distribuida,distribuida,3,22,97.0000,0.000000,0.006032
descreve,descreve,0,53,211.0000,0.000825,0.010916
vocabulario,vocabulario,1,39,93.0000,0.000000,0.005700
torna,torna,0,37,128.0000,0.000206,0.007333
ciencia,ciencia,2,109,490.0000,0.076273,0.022966
pergunta,pergunta,0,40,102.0000,0.000206,0.006093
estudos,estudos,2,23,114.0000,0.000000,0.006246
etnografia,etnografia,0,175,685.0000,0.206040,0.032183
haraway,haraway,1,70,202.0000,0.001031,0.010859
teoria,teoria,4,47,271.0000,0.002886,0.012424
generativa,generativa,5,32,186.0000,0.000000,0.008891
hinterland,hinterland,6,38,146.0000,0.033601,0.008333
ator,ator,4,59,298.0000,0.016698,0.013513
manifesta,manifesta,6,23,154.0000,0.000000,0.008881
gesto,gesto,1,77,242.0000,0.016491,0.012218
produz,produz,0,33,97.0000,0.000000,0.005994
sociais,sociais,2,46,215.0000,0.006390,0.010777
tecnociencia,tecnociencia,0,40,160.0000,0.010926,0.008375
dado,dado,2,77,244.0000,0.021851,0.011996
otherness,otherness,6,33,176.0000,0.029066,0.009930
infraestrutura,infraestrutura,0,37,69.0000,0.000412,0.004719
letramento,letramento,2,30,111.0000,0.002268,0.006638
laboratorio,laboratorio,0,54,172.0000,0.028757,0.009439
parte,parte,0,67,227.0000,0.003298,0.011683
ponto,ponto,4,37,77.0000,0.000000,0.004864
inscricao,inscricao,0,91,214.0000,0.000412,0.011160
objeto,objeto,5,113,385.0000,0.054422,0.018423
posicao,posicao,0,44,85.0000,0.000000,0.005187
relacoes,relacoes,1,53,103.0000,0.000000,0.006191
cientista,cientista,0,32,72.0000,0.000412,0.004666
latour,latour,1,129,404.0000,0.132241,0.019504
digital,digital,0,35,107.0000,0.003711,0.006099
substancia,substancia,3,23,113.0000,0.001443,0.006676
pesquisador,pesquisador,0,58,155.0000,0.004947,0.008429
