Source,Target,Type,Weight,npmi
relacao,metodo,Undirected,3.00,-0.0694
relacao,objeto,Undirected,10.00,0.0688
relacao,gesto,Undirected,6.00,0.0495
relacao,humano,Undirected,19.00,0.1634
relacao,tecnociencia,Undirected,3.00,0.0395
relacao,rede,Undirected,10.00,-0.0384
relacao,pesquisa,Undirected,11.00,-0.0060
relacao,campo,Undirected,13.00,0.0291
relacao,escrita,Undirected,5.00,0.0761
relacao,etnografia,Undirected,7.00,-0.0679
relacao,inscricao,Undirected,5.00,0.0056
relacao,presenca,Undirected,3.00,0.0835
relacao,ausencia,Undirected,4.00,0.1196
relacao,haraway,Undirected,3.00,-0.0232
relacao,latour,Undirected,7.00,0.0053
relacao,figuracao,Undirected,3.00,0.0140
relacao,formulacao,Undirected,5.00,0.0737
relacao,pratica,Undirected,8.00,0.0644
relacao,hinterland,Undirected,3.00,0.0475
relacao,plano,Undirected,18.00,0.2990
relacao,efeito,Undirected,21.00,0.4180
relacao,descricao,Undirected,4.00,0.0073
relacao,substancia,Undirected,19.00,0.3900
relacao,conexao,Undirected,7.00,0.2116
relacao,parcial,Undirected,8.00,0.1978
relacao,pergunta,Undirected,4.00,0.0741
relacao,maquina,Undirected,16.00,0.1911
relacao,parte,Undirected,3.00,-0.0170
relacao,existencia,Undirected,5.00,0.1449
relacao,conceito,Undirected,4.00,0.0215
relacao,termos,Undirected,3.00,-0.0114
relacao,claude,Undirected,7.00,0.0682
relacao,modelo,Undirected,3.00,-0.0452
relacao,digital,Undirected,4.00,0.0938
relacao,artificial,Undirected,3.00,-0.0683
relacao,spira,Undirected,6.00,0.1127
relacao,partir,Undirected,4.00,0.0460
relacao,ponto,Undirected,3.00,0.0079
maquina,sistemas,Undirected,11.00,0.2402
maquina,agencia,Undirected,14.00,0.2621
maquina,distribuida,Undirected,8.00,0.2508
maquina,rede,Undirected,3.00,-0.1611
maquina,pensar,Undirected,4.00,0.0689
maquina,relacoes,Undirected,4.00,0.0509
maquina,humano,Undirected,54.00,0.3302
maquina,spira,Undirected,6.00,0.1202
maquina,existencias,Undirected,4.00,0.1185
maquina,parciais,Undirected,4.00,0.0872
maquina,parcial,Undirected,17.00,0.2840
maquina,conexao,Undirected,7.00,0.2193
maquina,artificial,Undirected,4.00,-0.0301
maquina,dado,Undirected,3.00,-0.0265
maquina,latour,Undirected,18.00,0.1379
maquina,objeto,Undirected,11.00,0.0768
maquina,descreve,Undirected,3.00,0.0165
maquina,termo,Undirected,5.00,0.0903
maquina,descricao,Undirected,3.00,-0.0182
maquina,generativa,Undirected,7.00,0.1837
