Id,Label,community,frequency,degree_weighted,betweenness,pagerank
relacao,relacao,3,76,351.0000,0.018580,0.009858
comunidades,comunidades,4,22,47.0000,0.000000,0.002120
maquina,maquina,3,75,322.0000,0.031385,0.009167
sustenta,sustenta,0,36,189.0000,0.001569,0.005750
instrumentos,instrumentos,5,19,87.0000,0.000000,0.003073
pesquisa,pesquisa,0,222,965.0000,0.263182,0.025510
mundo,mundo,0,38,147.0000,0.000188,0.004675
modos,modos,5,42,165.0000,0.025422,0.005236
existe,existe,2,19,78.0000,0.000000,0.002810
centro,centro,2,42,149.0000,0.000000,0.004401
recursos,recursos,3,26,83.0000,0.000000,0.003020
lugar,lugar,3,64,201.0000,0.000063,0.006026
tornam,tornam,4,19,88.0000,0.000000,0.003062
condicao,condicao,0,39,135.0000,0.000000,0.004383
simetria,simetria,1,23,149.0000,0.004331,0.004564
ausencia,ausencia,7,27,187.0000,0.000000,0.005772
plano,plano,3,38,235.0000,0.002950,0.006827
possivel,possivel,0,26,137.0000,0.000000,0.004340
funcionam,funcionam,5,26,103.0000,0.000377,0.003690
nocao,nocao,3,23,91.0000,0.000000,0.003220
kofes,kofes,0,30,132.0000,0.001506,0.004224
simultaneamente,simultaneamente,0,21,95.0000,0.005900,0.003257
narrativa,narrativa,0,20,67.0000,0.000000,0.002549
rede,rede,4,265,1269.0000,0.393400,0.033045
argumento,argumento,1,41,146.0000,0.000000,0.004560
heterogeneos,heterogeneos,0,24,117.0000,0.000251,0.003947
corporacao,corporacao,2,23,48.0000,0.000000,0.002170
agencia,agencia,3,41,204.0000,0.001820,0.006214
computacional,computacional,2,26,115.0000,0.002009,0.004105
tecnico,tecnico,6,38,181.0000,0.007093,0.005516
existencia,existencia,3,28,180.0000,0.000502,0.005404
desenvolve,desenvolve,1,20,84.0000,0.000000,0.002993
analise,analise,4,77,337.0000,0.005336,0.009265
maior,maior,4,26,91.0000,0.018768,0.003196
decisoes,decisoes,0,26,132.0000,0.003013,0.004154
gestos,gestos,1,19,45.0000,0.000000,0.002000
notas,notas,5,24,73.0000,0.009478,0.002808
efeitos,efeitos,0,19,75.0000,0.000000,0.002824
parciais,parciais,1,38,235.0000,0.007093,0.006963
entrevistas,entrevistas,2,20,30.0000,0.000000,0.001667
obra,obra,1,25,99.0000,0.000000,0.003246
pensamento,pensamento,5,26,103.0000,0.000126,0.003579
textual,textual,4,28,169.0000,0.000188,0.004869
partir,partir,1,51,245.0000,0.001255,0.007189
observacao,observacao,0,21,62.0000,0.000000,0.002368
escolha,escolha,0,21,70.0000,0.000000,0.002588
armadilha,armadilha,1,19,44.0000,0.000000,0.001970
escrita,escrita,0,50,255.0000,0.008788,0.007347
existencias,existencias,1,29,185.0000,0.015693,0.005494
descrever,descrever,2,36,129.0000,0.000000,0.004002
tecnica,tecnica,6,25,91.0000,0.000000,0.003165
claude,claude,2,81,264.0000,0.025736,0.007501
precisa,precisa,0,24,101.0000,0.000126,0.003393
tecnologia,tecnologia,6,49,191.0000,0.000502,0.005706
natureza,natureza,3,19,52.0000,0.000000,0.002214
acesso,acesso,5,28,108.0000,0.002323,0.003830
pensar,pensar,1,45,199.0000,0.000910,0.006054
registro,registro,1,36,166.0000,0.010483,0.005205
conexao,conexao,3,24,160.0000,0.000942,0.004957
contexto,contexto,7,23,59.0000,0.003452,0.002479
funciona,funciona,5,20,83.0000,0.000000,0.003005
diferentes,diferentes,5,28,51.0000,0.000000,0.002207
pessoa,pessoa,1,22,75.0000,0.000063,0.002804
descrevo,descrevo,4,19,105.0000,0.000000,0.003536
arranjo,arranjo,2,19,71.0000,0.000000,0.002744
cadeia,cadeia,4,22,107.0000,0.000000,0.003594
efeito,efeito,3,22,126.0000,0.007093,0.004007
acao,acao,6,26,90.0000,0.000000,0.003149
regra,regra,0,25,110.0000,0.000000,0.003543
