Source,Target,Type,Weight,npmi
relacao,metodo,Undirected,3.00,-0.0694
relacao,textil,Undirected,2.00,-0.0083
relacao,objeto,Undirected,10.00,0.0688
relacao,gesto,Undirected,6.00,0.0495
relacao,humano,Undirected,19.00,0.1634
relacao,regra,Undirected,3.00,0.0921
relacao,tecnociencia,Undirected,3.00,0.0395
relacao,rede,Undirected,10.00,-0.0384
relacao,pessoa,Undirected,3.00,0.1064
relacao,pesquisa,Undirected,11.00,-0.0060
relacao,campo,Undirected,13.00,0.0291
relacao,escrita,Undirected,5.00,0.0761
relacao,posicao,Undirected,2.00,-0.0158
relacao,experiencia,Undirected,2.00,0.0469
relacao,etnografia,Undirected,7.00,-0.0679
relacao,inscricao,Undirected,5.00,0.0056
relacao,presenca,Undirected,3.00,0.0835
relacao,ausencia,Undirected,4.00,0.1196
relacao,existe,Undirected,6.00,0.2222
relacao,haraway,Undirected,3.00,-0.0232
relacao,trama,Undirected,4.00,0.1602
relacao,latour,Undirected,7.00,0.0053
relacao,produz,Undirected,2.00,0.0150
relacao,figuracao,Undirected,3.00,0.0140
relacao,funciona,Undirected,2.00,0.0686
relacao,desenvolve,Undirected,3.00,0.1171
relacao,formulacao,Undirected,5.00,0.0737
relacao,vocabulario,Undirected,2.00,-0.0029
relacao,pratica,Undirected,8.00,0.0644
relacao,diferenca,Undirected,3.00,0.0867
relacao,hinterland,Undirected,3.00,0.0475
relacao,plano,Undirected,18.00,0.2990
relacao,efeito,Undirected,21.00,0.4180
relacao,descricao,Undirected,4.00,0.0073
relacao,substancia,Undirected,19.00,0.3900
relacao,conexao,Undirected,7.00,0.2116
relacao,parcial,Undirected,8.00,0.1978
relacao,nomeia,Undirected,2.00,0.0056
relacao,distribuida,Undirected,2.00,0.0584
relacao,entidades,Undirected,3.00,0.0815
relacao,formula,Undirected,3.00,0.1064
relacao,pergunta,Undirected,4.00,0.0741
relacao,maquina,Undirected,16.00,0.1911
relacao,parte,Undirected,3.00,-0.0170
relacao,existencia,Undirected,5.00,0.1449
relacao,entidade,Undirected,2.00,0.0660
relacao,recusa,Undirected,2.00,0.0596
relacao,conceito,Undirected,4.00,0.0215
relacao,termos,Undirected,3.00,-0.0114
relacao,propriedade,Undirected,4.00,0.1433
relacao,diagrama,Undirected,2.00,0.0150
relacao,claude,Undirected,7.00,0.0682
relacao,modelo,Undirected,3.00,-0.0452
relacao,ontologia,Undirected,3.00,0.1015
relacao,problema,Undirected,2.00,0.0405
relacao,pesquisador,Undirected,2.00,-0.0440
relacao,processo,Undirected,2.00,0.0183
relacao,construcao,Undirected,2.00,0.0087
relacao,digital,Undirected,4.00,0.0938
relacao,elementos,Undirected,3.00,0.1064
relacao,inteligencia,Undirected,2.00,-0.1087
relacao,artificial,Undirected,3.00,-0.0683
relacao,instituicao,Undirected,2.00,0.0013
relacao,spira,Undirected,6.00,0.1127
relacao,corporacao,Undirected,2.00,0.0536
relacao,tecno,Undirected,2.00,0.0584
relacao,partir,Undirected,4.00,0.0460
relacao,recursos,Undirected,3.00,0.0877
relacao,subsecao,Undirected,2.00,0.0405
relacao,ponto,Undirected,3.00,0.0079
comunidades,digital,Undirected,2.00,0.1448
comunidades,escrita,Undirected,2.00,0.1027
comunidades,termos,Undirected,11.00,0.3187
comunidades,efeito,Undirected,2.00,0.1931
comunidades,cadeia,Undirected,3.00,0.2447
comunidades,computacional,Undirected,2.00,0.1727
comunidades,efeitos,Undirected,4.00,0.3031
comunidades,humano,Undirected,5.00,0.1115
comunidades,relacoes,Undirected,2.00,0.0985
comunidades,leitura,Undirected,4.00,0.2392
comunidades,rede,Undirected,3.00,-0.0298
comunidades,distintas,Undirected,3.00,0.2499
comunidades,maior,Undirected,2.00,0.1738
comunidades,vocabulario,Undirected,2.00,0.1293
maquina,sistemas,Undirected,11.00,0.2402
maquina,agencia,Undirected,14.00,0.2621
maquina,distribuida,Undirected,8.00,0.2508
maquina,fato,Undirected,12.00,0.3121
maquina,natureza,Undirected,5.00,0.1983
maquina,rede,Undirected,3.00,-0.1611
maquina,sustentam,Undirected,2.00,0.0807
maquina,principio,Undirected,2.00,0.0557
maquina,modelo,Undirected,2.00,-0.0800
maquina,pensar,Undirected,4.00,0.0689
maquina,relacoes,Undirected,4.00,0.0509
maquina,humano,Undirected,54.00,0.3302
maquina,recursos,Undirected,2.00,0.0471
maquina,computacao,Undirected,3.00,0.1186
maquina,spira,Undirected,6.00,0.1202
maquina,existencias,Undirected,4.00,0.1185
maquina,parciais,Undirected,4.00,0.0872
maquina,parcial,Undirected,17.00,0.2840
maquina,conexao,Undirected,7.00,0.2193
maquina,artificial,Undirected,4.00,-0.0301
maquina,dado,Undirected,3.00,-0.0265
maquina,latour,Undirected,18.00,0.1379
maquina,objeto,Undirected,11.00,0.0768
maquina,descreve,Undirected,3.00,0.0165
maquina,tecnica,Undirected,3.00,0.0991
maquina,termo,Undirected,5.00,0.0903
maquina,contexto,Undirected,4.00,0.1096
maquina,palavra,Undirected,3.00,0.1084
maquina,descricao,Undirected,3.00,-0.0182
maquina,entidades,Undirected,11.00,0.2580
maquina,generativa,Undirected,7.00,0.1837
maquina,plano,Undirected,13.00,0.2607
maquina,substancia,Undirected,6.00,0.2030
maquina,efeito,Undirected,4.00,0.1531
maquina,pratica,Undirected,3.00,-0.0456
maquina,pergunta,Undirected,3.00,0.0465
maquina,funcionam,Undirected,2.00,0.0471
maquina,ontologia,Undirected,3.00,0.1084
maquina,haraway,Undirected,2.00,-0.0589
maquina,ponto,Undirected,3.00,0.0606
maquina,decisoes,Undirected,2.00,0.0471
maquina,simetria,Undirected,4.00,0.1531
maquina,pensamento,Undirected,2.00,0.0471
maquina,secao,Undirected,2.00,-0.0213
maquina,leitura,Undirected,6.00,0.1328
maquina,sociais,Undirected,2.00,-0.0140
maquina,metodo,Undirected,3.00,-0.0624
maquina,otherness,Undirected,2.00,0.0232
maquina,nocao,Undirected,3.00,0.1084
maquina,descrever,Undirected,2.00,0.0123
sustenta,hinterland,Undirected,11.00,0.3215
sustenta,aparece,Undirected,3.00,0.1739
sustenta,presenca,Undirected,2.00,0.1147
sustenta,existencias,Undirected,2.00,0.1071
sustenta,parciais,Undirected,3.00,0.1271
sustenta,campo,Undirected,5.00,0.0440
sustenta,latour,Undirected,2.00,-0.0513
sustenta,conceito,Undirected,3.00,0.0704
sustenta,nocao,Undirected,3.00,0.1833
sustenta,simetria,Undirected,2.00,0.1391
sustenta,precisa,Undirected,3.00,0.1857
sustenta,kofes,Undirected,3.00,0.1535
sustenta,recusa,Undirected,6.00,0.2896
sustenta,experiencia,Undirected,2.00,0.1251
sustenta,strathern,Undirected,3.00,0.0587
sustenta,escrita,Undirected,3.00,0.0963
sustenta,etnografia,Undirected,11.00,0.1242
sustenta,descricao,Undirected,10.00,0.2213
sustenta,parte,Undirected,7.00,0.1764
sustenta,possivel,Undirected,4.00,0.2085
sustenta,pesquisa,Undirected,7.00,0.0288
sustenta,infraestrutura,Undirected,6.00,0.2251
sustenta,computacional,Undirected,3.00,0.1695
sustenta,ciencia,Undirected,6.00,0.0968
sustenta,pensamento,Undirected,3.00,0.1695
sustenta,existe,Undirected,5.00,0.2092
sustenta,trama,Undirected,3.00,0.2047
sustenta,argumento,Undirected,7.00,0.2358
sustenta,figuracao,Undirected,2.00,0.0482
sustenta,costura,Undirected,3.00,0.1882
sustenta,gesto,Undirected,3.00,0.0498
sustenta,partir,Undirected,3.00,0.0941
sustenta,pratica,Undirected,5.00,0.0917
sustenta,metodo,Undirected,2.00,-0.0315
sustenta,laboratorio,Undirected,3.00,0.0930
sustenta,tecnica,Undirected,3.00,0.1739
sustenta,sistemas,Undirected,2.00,0.0854
sustenta,posicao,Undirected,3.00,0.1106
sustenta,otherness,Undirected,3.00,0.1446
sustenta,estudos,Undirected,2.00,0.1319
sustenta,tecnologia,Undirected,6.00,0.1910
sustenta,secao,Undirected,2.00,0.0503
sustenta,haraway,Undirected,3.00,0.0587
sustenta,superficie,Undirected,4.00,0.2448
sustenta,material,Undirected,2.00,0.0700
sustenta,rede,Undirected,2.00,-0.1259
sustenta,modelo,Undirected,2.00,-0.0084
sustenta,inscricao,Undirected,3.00,0.0299
sustenta,compostagem,Undirected,3.00,0.1437
instrumentos,claude,Undirected,2.00,0.0716
instrumentos,inscricao,Undirected,24.00,0.4357
instrumentos,analise,Undirected,4.00,0.1587
instrumentos,laboratorio,Undirected,6.00,0.2626
instrumentos,hinterland,Undirected,3.00,0.2008
instrumentos,conhecimento,Undirected,3.00,0.1748
instrumentos,conjunto,Undirected,2.00,0.1872
instrumentos,infraestrutura,Undirected,2.00,0.1494
instrumentos,contexto,Undirected,2.00,0.2015
instrumentos,pensamento,Undirected,4.00,0.2824
instrumentos,obra,Undirected,3.00,0.2455
instrumentos,agencia,Undirected,2.00,0.1391
